,latent_size,epoch_size,cardio,gas_drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,4,50,0.9563855888429752,0.8696244764196489,0.7879070745924297,0.9596840542233163,0.9677432610124918,0.695567208863294,0.47284255802288166,0.515721580220371,0.8111527374158234
1,8,200,0.931979597107438,0.8847370726172339,0.8217939130719679,0.9620046656333836,0.9978221564760026,0.667983448065445,0.4807421402160821,0.513571620532115,0.8156149216686314
2,16,500,0.9617122933884299,0.9784564758244119,0.823301016633894,0.9794588397337611,0.9986028928336621,0.750286226425888,0.496246947547375,0.5189465197527545,0.807279934954036
3,32,1000,0.9581611570247934,0.989120012986991,0.8643899937979986,0.994019046524853,0.9961785009861933,0.7433328883888561,0.48879490822367533,0.5243214189733942,0.8028352570910604
4,64,1500,0.9442148760330579,0.9940459380987248,0.847657810469369,0.994066844454501,0.9935897435897436,0.7595080185351156,0.49972516662711874,0.5385649019080893,0.8051266490046645
5,96,2000,0.9321410123966941,0.9901041834006639,0.8639152159405803,0.9950725742861317,0.9949457593688363,0.7226696668637135,0.48715792256006535,0.541521096479441,0.7932962197868889
6,112,2500,0.965779958677686,0.9887699729944992,0.8650423822582527,0.9946998381375004,0.9965894148586456,0.7824007932724395,0.4828747270439043,0.5439398011287288,0.820516710821672
7,128,3000,0.9557722107438016,0.9898302390587137,0.8842967511054679,0.993891585379125,0.9866452991452991,0.7885074655326939,0.483271207975274,0.5635581832840634,0.8196491719477609
8,144,3500,0.9728499483471075,0.9926998905913647,0.8723146455174015,0.994498926044836,0.9947813938198554,0.7539741805076181,0.4851695106163777,0.5509271701155604,0.8062898513512987
9,160,4000,0.9515431301652892,0.9939968986794868,0.8684026139222569,0.99254995450061,0.9946170282708744,0.7616574817413856,0.4846468766613903,0.5434023112066648,0.7966418853992818
10,192,4500,0.9440534607438016,0.9939478592602488,0.8444378279545295,0.9924189121644342,0.9968359631821171,0.7445411033351765,0.5080002042477525,0.5339962375705456,0.816599169808091
11,256,5000,0.9465069731404959,0.991737703365626,0.8613252050137921,0.9935343433605937,0.9880834976988824,0.7727243950344197,0.4990793832919331,0.527546358505778,0.83989433921159
