,epoch_size,cardio,gas-drift,satellite,magic_telescope,pendigits,phoneme,pollen,speech,waveform
0,50,0.9351110537190083,0.9789282688577704,0.8061624556476437,0.950161888079613,0.971646942800789,0.7093053145439637,0.4931276638562576,0.5224402042461704,0.805122758695813
1,100,0.897501291322314,0.9829799394955028,0.8171662659411264,0.9646390331779755,0.9952744904667982,0.6148128372838046,0.49299700536751084,0.5348024724536415,0.7895304008185211
2,200,0.9253615702479339,0.9918814395944271,0.829063877164737,0.9711029357649178,0.99206936226167,0.7183402299727313,0.5015513818261552,0.5181402848696587,0.7954903539792024
3,500,0.9317536157024793,0.9933441670992845,0.8146958116660852,0.937001963296306,0.9879191321499015,0.7335588566198205,0.4843314941023461,0.5305025530771298,0.7915922645098795
4,1000,0.9407605888429753,0.9920437769822494,0.8273193846741018,0.9591920425071228,0.9970003287310979,0.7670570736637364,0.4889270685341319,0.5442085460897608,0.7964434796478492
5,1500,0.9480888429752066,0.9940459380987248,0.8288908648946608,0.9773854400928597,0.9945759368836292,0.6988158120554528,0.49022764613476155,0.5495834453104004,0.7950818715497823
6,2000,0.9275891012396694,0.9921012714737698,0.861831021617337,0.9660914251610495,0.992439184746877,0.7978757079384451,0.49260352807956054,0.5479709755442086,0.8014541974487356
7,2500,0.961615444214876,0.9906875833881504,0.8349635380951751,0.9464156705293094,0.9964250493096647,0.7011094372723633,0.49969513019292405,0.5385649019080891,0.7941326361899871
8,3000,0.9443762913223139,0.9928926662394036,0.8192418383904456,0.9658542991935526,0.9978221564760026,0.7057256726607043,0.48889102481309826,0.5391023918301532,0.8042980132192694
9,3500,0.9599044421487604,0.9934557740534123,0.81547982740158,0.9488462025604634,0.9982741617357003,0.6196708682138021,0.4894677243496361,0.5366836871808653,0.8033448875506226
10,4000,0.9582902892561984,0.9942319496889379,0.8474836486161029,0.9739605064855723,0.9956854043392505,0.7267481550695066,0.4967275304944898,0.5350712174146735,0.7992055989324993
