,number of Autoencoders,satellite
0,1,0.8571165809556599
1,2,0.8631714356167314
2,3,0.8631421212453895
3,4,0.866906431400635
4,5,0.8676846992201803
5,6,0.8688785413628654
6,7,0.8661373602466087
7,8,0.8680381960510668
8,9,0.868873368238511
9,10,0.8663609541770392
10,11,0.8670190905532427
11,12,0.8661379350382035
12,13,0.8702683874394241
13,14,0.8695039146181572
14,15,0.8713012879355267
15,16,0.871014466929653
16,17,0.8701856174497532
17,18,0.8708138646630197
18,19,0.870812140288235
19,20,0.8693452721379546
20,21,0.8705132486588676
21,22,0.8698763795716767
22,23,0.8688118655378526
23,24,0.8691981254896506
24,25,0.8690400578010428
25,26,0.8689946492650428
26,27,0.868441699750713
27,28,0.8685997674393207
28,29,0.8679761185588135
29,30,0.8697872868744616
30,31,0.8701919401572975
31,32,0.8700890524618036
32,33,0.8694360892099549
33,34,0.8693211308909672
34,35,0.8687417409632703
35,36,0.8689785551003845
36,37,0.8695849602330435
37,38,0.8693286031817014
38,39,0.8688469278251438
39,40,0.8688365815764351
40,41,0.8688256605361312
41,42,0.8694573564989674
42,43,0.8690440813422073
43,44,0.8694855212871193
44,45,0.8695395516970434
45,46,0.8712156439878811
46,47,0.8715398264474258
47,48,0.8712202423206405
48,49,0.8718668828649454
49,50,0.8722491192755787
50,51,0.8718990711942618
51,52,0.871953101604186
52,53,0.8717139883006919
53,54,0.8708673202813489
54,55,0.8707690309186147
55,56,0.8706069396888423
56,57,0.8709627356861087
57,58,0.8707489132127919
58,59,0.8706937332196778
59,60,0.8704931309530448
60,61,0.8702655134814495
61,62,0.8708040932059059
62,63,0.8705580824032726
63,64,0.8702183805706646
64,65,0.8703977155482849
65,66,0.8701425080801328
66,67,0.8700378960098543
67,68,0.8703592045114242
68,69,0.8702344747353229
69,70,0.8711121815007923
70,71,0.8711006856688936
71,72,0.8711024100436784
72,73,0.8707425905052477
73,74,0.8705097999092979
74,75,0.8702379234848925
75,76,0.8702931034780065
76,77,0.8705983178149183
77,78,0.8705546336537029
78,79,0.8704396753347156
79,80,0.8705885463578044
80,81,0.8706506238500576
81,82,0.8707466140464122
82,83,0.8709477911046403
83,84,0.8708690446561337
84,85,0.8708155890378046
85,86,0.870628206977855
86,87,0.870498878868994
87,88,0.8706488994752727
88,89,0.8706207346871209
89,90,0.8707966209151715
90,91,0.8707172996750703
91,92,0.8709920500574504
92,93,0.8709357204811465
93,94,0.8711529917040329
94,95,0.8710432065093998
95,96,0.8710730956723365
96,97,0.8708845640291972
97,98,0.8708816900712224
98,99,0.8708719186141085
99,100,0.8707253467573994
100,101,0.8705609563612473
101,102,0.8708483521587159
102,103,0.8708288092444881
103,104,0.8707046542599817
104,105,0.8707115517591211
105,106,0.8704063374222093
106,107,0.870454045124589
107,108,0.8704172584625129
108,109,0.8708972094442857
109,110,0.8707575350867159
110,111,0.8706184355207411
111,112,0.8706494742668676
112,113,0.8705442874049941
113,114,0.8707190240498552
114,115,0.8706420019761335
115,116,0.870610388438412
116,117,0.8705621059444372
117,118,0.8704212820036774
118,119,0.8702499941083862
119,120,0.870194239323677
120,121,0.8700758322551201
121,122,0.8700769818383101
122,123,0.869921788107677
123,124,0.8699373074807402
124,125,0.869837868534816
125,126,0.8698125777046387
126,127,0.869645888142107
127,128,0.8695855350246384
128,129,0.8695493231541573
129,130,0.8694860960787142
130,131,0.8693935546319294
131,132,0.8694993162853979
132,133,0.8694820725375497
133,134,0.8694958675358282
134,135,0.8694102235881824
135,136,0.8694343648351699
136,137,0.8695073633677268
137,138,0.8695395516970434
138,139,0.8694998910769929
139,140,0.8694837969123346
140,141,0.8693659646353724
141,142,0.86934124859679
142,143,0.8702172309874747
143,144,0.87026206473188
144,145,0.870306898476285
145,146,0.8703362128476269
146,147,0.8701448072465127
147,148,0.870362078469399
148,149,0.8702057351555761
149,150,0.8702683874394241
150,151,0.870222978903424
151,152,0.8700890524618037
152,153,0.8698591358238286
153,154,0.8697033673016006
154,155,0.8696435889757272
155,156,0.8696165737707651
156,157,0.8694975919106129
157,158,0.8694608052485371
158,159,0.8693176821413976
159,160,0.869322280474157
160,161,0.8691952515316759
161,162,0.8691734094510682
162,163,0.8691452446629163
163,164,0.8690452309253973
164,165,0.8689153280249414
165,166,0.8687371426305107
166,167,0.869048104883372
167,168,0.8690659234228149
168,169,0.8690371838430682
169,170,0.8692929661028154
170,171,0.8692038734056
171,172,0.8691866296577518
172,173,0.8691975506980557
173,174,0.8691509925788657
174,175,0.8690584511320809
175,176,0.8693895310907648
176,177,0.8693050367263091
177,178,0.869314233391828
178,179,0.8692619273566886
179,180,0.8692055977803848
180,181,0.8692291642357772
181,182,0.8692285894441822
182,183,0.8691440950797265
183,184,0.8692469827752203
184,185,0.8691969759064607
185,186,0.8691946767400809
186,187,0.8690935134193719
187,188,0.868963610518916
188,189,0.8689515398954224
189,190,0.8688377311596248
190,191,0.8688032436639286
191,192,0.8687641578354728
192,193,0.8687658822102576
193,194,0.8688078419966881
194,195,0.8688687699057513
195,196,0.8688595732402323
196,197,0.8688348572016502
197,198,0.868845203450359
198,199,0.8691291504982579
199,200,0.8691613388275746
